,revision_id,article_quality,article_name,country,Data
96,799043301,C,Moussa Faki,Chad,"13,707,000"
97,799373925,Stub,Template:Chad-politician-stub,Chad,"13,707,000"
98,799413193,Stub,Kalzeubet Pahimi Deubet,Chad,"13,707,000"
99,799447895,Start,Haroun Kabadi,Chad,"13,707,000"
100,799447995,Start,Nagoum Yamassoum,Chad,"13,707,000"
101,799448338,Stub,Outel Bono,Chad,"13,707,000"
102,799902492,B,Ahmat Acyl,Chad,"13,707,000"
103,800133552,Start,Djimrangar Dadnadji,Chad,"13,707,000"
104,801029539,C,Delwa Kassiré Koumakoye,Chad,"13,707,000"
105,801192255,C,Fidèle Moungar,Chad,"13,707,000"
106,801192303,B,Jean Alingué Bawoyeu,Chad,"13,707,000"
107,801573576,C,Emmanuel Nadingar,Chad,"13,707,000"
108,801583221,Stub,Roger Djikisna,Chad,"13,707,000"
109,801583260,Stub,Firmin Djidingar,Chad,"13,707,000"
110,802874918,Stub,Idris I of Kanem,Chad,"13,707,000"
111,803166509,Stub,Vice President of Chad,Chad,"13,707,000"
112,803166806,GA,Hissène Habré,Chad,"13,707,000"
113,803166989,Start,Negue Djogo,Chad,"13,707,000"
114,803167152,C,Wadel Abdelkader Kamougué,Chad,"13,707,000"
115,803167336,Start,Félix Malloum,Chad,"13,707,000"
116,803167424,C,Lol Mahamat Choua,Chad,"13,707,000"
117,803167990,C,Goukouni Oueddei,Chad,"13,707,000"
118,803433107,C,Albert Pahimi Padacké,Chad,"13,707,000"
119,803812011,Start,List of heads of state of Chad,Chad,"13,707,000"
120,804773540,Start,Elise Loum,Chad,"13,707,000"
121,805493169,Start,Agnes Allafi,Chad,"13,707,000"
122,806337653,Stub,Christine Georges Diguibaye,Chad,"13,707,000"
123,806508985,Start,Pascal Yoadimnadji,Chad,"13,707,000"
124,806616268,Start,Aissa Koli,Chad,"13,707,000"
125,807425129,Start,Omar I of Kanem,Chad,"13,707,000"
126,391862046,Stub,Template:Zimbabwe-politician-stub,Zimbabwe,"17,354,000"
127,444767985,Stub,Template:Zimbabwe-mayor-stub,Zimbabwe,"17,354,000"
128,645408814,Stub,Jabulani Dube,Zimbabwe,"17,354,000"
129,669981316,Stub,Fletcher Dulini,Zimbabwe,"17,354,000"
130,710060929,Start,Leopold Takawira,Zimbabwe,"17,354,000"
131,710524880,Start,Tinos Rusere,Zimbabwe,"17,354,000"
132,710615823,Stub,Gift Tandare,Zimbabwe,"17,354,000"
133,711448400,Start,Engelbert Rugeje,Zimbabwe,"17,354,000"
134,711509855,Stub,Max Mnkandla,Zimbabwe,"17,354,000"
135,711958194,Stub,Lovemore Matombo,Zimbabwe,"17,354,000"
136,712004487,Stub,Alfred Nikita Mangena,Zimbabwe,"17,354,000"
137,713121927,Stub,Simbi Mubako,Zimbabwe,"17,354,000"
138,713308132,Stub,Nicholas Kiti kiti,Zimbabwe,"17,354,000"
139,713580662,Stub,Aleck Gumbo,Zimbabwe,"17,354,000"
140,713618917,Start,Jabulani Sibanda,Zimbabwe,"17,354,000"
141,713726531,Stub,Cain Mathema,Zimbabwe,"17,354,000"
142,713740128,Stub,Patrick Kombayi,Zimbabwe,"17,354,000"
143,713899377,Stub,Langton Towungana,Zimbabwe,"17,354,000"
144,714455111,Stub,Eric Matinenga,Zimbabwe,"17,354,000"
145,714535045,Stub,Emmanuel Chiroto,Zimbabwe,"17,354,000"
146,714706533,C,Muchadeyi Masunda,Zimbabwe,"17,354,000"
147,714967769,Stub,David Butau,Zimbabwe,"17,354,000"
148,715131189,Stub,Thompson Samkange,Zimbabwe,"17,354,000"
149,715183334,Stub,Nomalanga Khumalo,Zimbabwe,"17,354,000"
150,715867004,Stub,Henry Dzinotyiweyi,Zimbabwe,"17,354,000"
151,716017725,Stub,Edward Raradza,Zimbabwe,"17,354,000"
152,716669163,Stub,Rekayi Tangwena,Zimbabwe,"17,354,000"
153,717380254,Stub,Sibonile Nyamudeza,Zimbabwe,"17,354,000"
154,720008799,Stub,Misheck Kagurabadza,Zimbabwe,"17,354,000"
155,721674926,Stub,Morgan Femai,Zimbabwe,"17,354,000"
